subcriteria,question,dept,nama_dokumen,no_sop_wi_std_form_other
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,IT Security Policy,4th Revision (26 Nov'24)
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,STD Panduan Penggunaan dan Review Super user,STD-MIS-059
Sistem pengelolaan data perdagangan,Apakah perusahaan akan memberikan akses kepada DJBC sesuai dengan peraturan yang berlaku terhadap catatan atau pembukuan yang dijalankan oleh perusahaan terkait dengan kegiatan ekspor dan/atau impor barang?,MIS,Standar Panduan Review User Akses,STD-MIS-033
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,AEO,Struktur Organisasi Perusahaan,1 Januari 2025
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,AEO,Struktur Organisasi AEO,17 Desember 2024
Sistem pengelolaan data perdagangan,Apakah perusahaan memiliki sistem pengendalian internal yang baik? * ,ACC,Fix Assets Recognition R1,PRO-ACC-AM-004
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",AEO,Struktur Organisasi AEO,Struktur Organisasi AEO
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",AEO,Jobdesc per bagian organisasi AEO,Jobdesc per bagian organisasi AEO
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",QSA,PRO Internal Audit,PRO-DIR-005
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",MSU,"Penanganan, Investigasi, Pelaporan, Tindakan Perbaikan dan Pencegahan Insiden",PRO-LK3MR-007
Sistem pengelolaan data perdagangan,"Apakah sistem pengendalian internal perusahaan mengidentifikasi, melaporkan kepada manajemen yang berwenang, memperbaiki dan memproses ketidaksesuaian, dan memastikan penerapan terhadap prosedur dan undang-undang kepabeanan atau cukai dengan benar? * ",PQD,Pembuatan & Pelaporan Voluntary Payment (VP),PRO-PUR-003
Sistem pengelolaan data perdagangan,Apakah perusahaan Anda memiliki prosedur untuk memeriksa file komputer (data terkini atau master data) dan apakah perusahaan anda mempertimbangkan risiko berikut:,PQD,Form Master Kode Klasifikasi Barang Impor (HS Code),FRM-PUR-IMP-010-001
Sistem pengelolaan data perdagangan,a. Pencatatan transaksi yang tidak benar dan/atau tidak lengkap dalam sistem akuntansi;,PQD,WIS Kontrol Penggunaan quota,WIS-PUR-IMP-011
Sistem pengelolaan data perdagangan,"b. Penggunaan informasi yang tidak tepat atau kedaluwarsa, seperti kode HS atau peraturan expired / over kuota * ",ACC,PRO Stock Opname   ,PRO-ACC-002
Kemampuan keuangan,Apakah perusahaan telah menyediakan laporan keuangan yang disusun berdasarkan prinsip akuntansi yang berlaku sesuai Standar Akuntansi Keuangan (PSAK)? * ,ACC,Laporan Keuangan 2022,Laporan Keuangan 2022
Kemampuan keuangan,Apakah perusahaan telah menyediakan laporan keuangan yang disusun berdasarkan prinsip akuntansi yang berlaku sesuai Standar Akuntansi Keuangan (PSAK)? * ,ACC,Laporan Keuangan 2023,Laporan Keuangan 2023
Kemampuan keuangan,Apakah posisi keuangan perusahaan mampu untuk memenuhi seluruh kewajiban-kewajiban atau komitmen-komitmen yang akan jatuh tempo? * ,ACC,FS Summary Tgl 22 Maret 2025,
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah perusahaan sudah menunjuk Manajer AEO yang akan bertanggung jawab pada sebelum dan sesudah perusahaan mendapatkan pengakuan sebagai AEO dan apakah Manajer AEO yang ditunjuk oleh perusahaan memiliki pengetahuan dan mengetahui tanggung jawab terkait AEO? * ,AEO,Surat penunjukan AEO Mgr,Surat penunjukan AEO Mgr
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah perusahaan sudah menunjuk Manajer AEO yang akan bertanggung jawab pada sebelum dan sesudah perusahaan mendapatkan pengakuan sebagai AEO dan apakah Manajer AEO yang ditunjuk oleh perusahaan memiliki pengetahuan dan mengetahui tanggung jawab terkait AEO? * ,AEO,"Tugas, wewenang dan tanggung jawab Manager & Representatif Manager AEO",Jobdesc AEO Maager
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",PQD,Screenshot tiket konsultasi,Screenshot tiket konsultasi
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",PQD,"WIS Konsultasi, Komunikasi dan Pelaporan kepada DJBC",WIS-PUR-IMP-018
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",HRD,Materi & Daftar hadir training kepabenan ,"21 & 22 Agt.'24 (AEO)
Trainer : PT. Mulia Berkah Jaya
Copy materi training."
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",PQD,Pembuatan & Pelaporan Voluntary Payment (VP),PRO-PUR-003
"Sistem konsultasi, kerjasama, dan komunikasi","Apakah terdapat prosedur terkait dengan pencatatan atas perbedaan antara dokumen tertulis dan/atau data elektronik terkait dengan barang, sehingga kelebihan atau kekurangan/barang dan muatan tercatat dan dilaporkan kepada DJBC? Bagaimana perusahaan menjaga konsultasi dan kerjasama dengan DJBC tetap berlangsung secara berkelanjutan? * ",ACC,PRO Stock Opname   ,PRO-ACC-002
"Sistem konsultasi, kerjasama, dan komunikasi",Apakah DJBC diberitahukan secara tepat waktu jika terjadi bencana atau keadaan darurat yang menyangkut barang untuk aktivitas kepabeanan? * ,PQD,"WIS Konsultasi, Komunikasi dan Pelaporan kepada DJBC",WIS-PUR-IMP-018
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan mempunyai pelatihan internal yang terdokumentasi terkait keamanan perdagangan, antara lain yang berhubungan dengan risiko atas:",HRD,Pelatihan Karyawan,PRO-HRD-002
"Sistem pendidikan, pelatihan dan kepedulian",a. keamanan perdagangan,HRD,Pelaksanaan Training,STD-HRD-002-001
"Sistem pendidikan, pelatihan dan kepedulian","b. keamanan informasi,",HRD,Training New MP,STD-HRD-002-002
"Sistem pendidikan, pelatihan dan kepedulian",c. kepedulian terhadap segala potensi ancaman sesuai dengan nature of business perusahaan. Apakah perusahaan mengelola terkait dengan pelatihan-pelatihan yang dilakukan? * ,HRD,Evaluasi Hasil Training,WIS-HRD-002-002
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan menyediakan, secara teratur, pendidikan dan pelatihan tentang risiko yang terkait dengan arus barang dalam rantai pasok perdagangan internasional? Apakah karyawan memahami dan mampu menerapkan proses yang diperlukan untuk memastikan keamanan barang? * ",HRD,Pelatihan AEO dari Bea Cukai ttg Pelatihan terkait Safe & Secure Global Supply Chain,Tgl. 4 Juli 2024
"Sistem pendidikan, pelatihan dan kepedulian","Apakah perusahaan menyediakan, secara teratur, pendidikan dan pelatihan tentang risiko yang terkait dengan arus barang dalam rantai pasok perdagangan internasional? Apakah karyawan memahami dan mampu menerapkan proses yang diperlukan untuk memastikan keamanan barang? * ",HRD,Matrix Training per Dept 2025,Tgl. 10 April 2025
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",MSU,Jadwal Simulasi Keadaan darurat,Jadwal Simulasi Keadaan darurat
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",MIS,Stuktur Organisasi MIS,Per 31 Oct'24
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",MIS,Matrix Accesibility Role SAP,Matrix Accesibility Role SAP
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",MSU,Simulasi Contigency Plan,Tgl. 1 Feb 2024
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",MSU,Foto Safety Drill,Per 28 Mar'25
"Sistem pendidikan, pelatihan dan kepedulian","Apakah ada pelatihan berkala bagi karyawan tentang manajemen krisis, termasuk latihan simulasi tanggap krisis? * ",MSU,Materi Pelatihan Tanggap Darurat Kebakaran,Per 28 Mar'25
"Sistem pendidikan, pelatihan dan kepedulian",Apakah ada materi pelatihan internal yang terdokumentasi tentang peraturan kepabeanan? * ,PQD,Materi Training Bea Cukai  Pengantar HS,Per 28 Mar'25
"Sistem pendidikan, pelatihan dan kepedulian",Apakah ada materi pelatihan internal yang terdokumentasi tentang peraturan kepabeanan? * ,PQD,Materi Training Bea Cukai  Tata Laksana Ekspor,Per 28 Mar'25
"Sistem pendidikan, pelatihan dan kepedulian",Apakah ada materi pelatihan internal yang terdokumentasi tentang peraturan kepabeanan? * ,PQD,Materi Training Bea Cukai  Tata Laksana Impor,Per 28 Mar'25
Sistem pengelolaan keamanan dan keselamatan,Apakah perusahaan mempunyai prosedur perlindungan keamanan terhadap sistem? Apa saja yang diatur dalam prosedur tersebut?,MIS,IT Security Policy,4th Revision (26 Nov'24)
"Sistem pertukaran informasi, akses dan kerahasiaan",Apakah sistem perusahaan dilengkapi dengan perangkat keamanan untuk mencegah akses tidak sah?,MIS,Penggunaan Hardware & Software,STD-MIS-039
